Face ID = 1, fiber component root = 0, SheetID = 0
Face ID = 2, fiber component root = 0, SheetID = 0
Face ID = 5, fiber component root = 0, SheetID = 0
Face ID = 7, fiber component root = 0, SheetID = 0
Face ID = 8, fiber component root = 0, SheetID = 0
Face ID = 9, fiber component root = 0, SheetID = 0
Face ID = 12, fiber component root = 0, SheetID = 0
Face ID = 13, fiber component root = 0, SheetID = 0

Face ID = 3, fiber component root = 0, SheetID = 2
Face ID = 10, fiber component root = 0, SheetID = 2
Face ID = 11, fiber component root = 0, SheetID = 2
Face ID = 14, fiber component root = 0, SheetID = 2
Face ID = 15, fiber component root = 0, SheetID = 2

Face ID = 3, fiber component root = 2, SheetID = 3
Face ID = 4, fiber component root = 0, SheetID = 3
Face ID = 6, fiber component root = 0, SheetID = 3
Face ID = 10, fiber component root = 2, SheetID = 3
Face ID = 14, fiber component root = 2, SheetID = 3
